timestamp,idx,label,width,height,xmin,ymin,xmax,ymax,score
3_20191018_162514_000630,6,car,1920,1080,398,597,504,639,0.41796875
3_20191018_162514_000630,7,car,1920,1080,326,613,453,683,0.41796875
3_20191018_162514_000660,0,car,1920,1080,377,604,546,685,0.7890625
3_20191018_162514_000660,1,car,1920,1080,629,592,687,628,0.7890625
3_20191018_162514_000660,2,car,1920,1080,833,584,947,695,0.41796875
3_20191018_162514_000660,3,car,1920,1080,547,599,601,633,0.41796875
3_20191018_162514_000660,4,car,1920,1080,409,595,531,639,0.41796875
3_20191018_162514_000660,5,car,1920,1080,151,604,351,694,0.41796875
3_20191018_162514_000660,6,car,1920,1080,1395,573,1672,698,0.33984375
3_20191018_162514_000690,0,car,1920,1080,907,618,980,676,0.58203125
3_20191018_162514_000690,1,car,1920,1080,950,593,984,625,0.41796875
3_20191018_162514_000690,2,car,1920,1080,308,624,426,670,0.41796875
3_20191018_162514_000720,0,car,1920,1080,3,554,492,767,0.58203125
3_20191018_162514_000720,1,car,1920,1080,1052,568,1092,607,0.41796875
3_20191018_162514_000750,0,car,1920,1080,331,566,723,746,0.87890625
3_20191018_162514_000750,1,car,1920,1080,1119,576,1189,632,0.58203125
3_20191018_162514_000750,2,car,1920,1080,215,595,303,637,0.58203125
3_20191018_162514_000750,3,car,1920,1080,7,599,132,680,0.58203125
3_20191018_162514_000750,4,car,1920,1080,339,587,385,624,0.5
3_20191018_162514_000750,5,car,1920,1080,929,578,995,631,0.5
3_20191018_162514_000750,6,car,1920,1080,121,596,199,636,0.41796875
3_20191018_162514_000780,0,car,1920,1080,669,597,798,681,0.73046875
3_20191018_162514_000780,1,car,1920,1080,617,592,766,685,0.58203125
3_20191018_162514_000780,2,car,1920,1080,545,595,610,631,0.58203125
3_20191018_162514_000780,3,car,1920,1080,913,591,1018,676,0.58203125
3_20191018_162514_000780,4,car,1920,1080,925,574,999,635,0.5
3_20191018_162514_000780,5,car,1920,1080,855,585,888,618,0.41796875
3_20191018_162514_000780,6,car,1920,1080,639,588,694,627,0.33984375
3_20191018_162514_000780,7,car,1920,1080,743,586,788,623,0.33984375
3_20191018_162514_000810,0,car,1920,1080,741,593,821,638,0.66015625
3_20191018_162514_000810,1,car,1920,1080,860,602,900,632,0.58203125
3_20191018_162514_000810,2,car,1920,1080,913,600,1025,673,0.58203125
3_20191018_162514_000810,3,car,1920,1080,1333,567,1409,612,0.41796875
3_20191018_162514_000810,4,car,1920,1080,671,596,703,625,0.41796875
3_20191018_162514_000810,5,car,1920,1080,920,582,994,635,0.41796875
3_20191018_162514_000810,6,car,1920,1080,1251,575,1303,609,0.41796875
3_20191018_162514_000810,7,car,1920,1080,1073,578,1108,609,0.41796875
3_20191018_162514_000840,0,car,1920,1080,830,598,882,633,0.83984375
3_20191018_162514_000840,1,car,1920,1080,1481,546,1685,624,0.83984375
3_20191018_162514_000840,2,car,1920,1080,1359,570,1413,611,0.73046875
3_20191018_162514_000840,3,car,1920,1080,767,598,794,625,0.58203125
3_20191018_162514_000840,4,car,1920,1080,1438,560,1519,624,0.41796875
3_20191018_162514_000870,0,car,1920,1080,856,590,886,617,0.58203125
3_20191018_162514_000870,1,car,1920,1080,1813,556,1907,640,0.5
3_20191018_162514_000870,2,car,1920,1080,1623,555,1725,601,0.41796875
3_20191018_162514_000870,3,car,1920,1080,1555,560,1631,600,0.41796875
3_20191018_162514_000900,0,car,1920,1080,1229,576,1297,621,0.66015625
3_20191018_162514_000900,1,car,1920,1080,937,582,1000,636,0.58203125
3_20191018_162514_000900,2,car,1920,1080,865,587,895,618,0.5
3_20191018_162514_000900,3,car,1920,1080,1685,539,1840,620,0.33984375
3_20191018_162514_000930,0,car,1920,1080,1694,530,1846,641,0.58203125
3_20191018_162514_000930,1,car,1920,1080,1356,567,1424,625,0.41796875
3_20191018_162514_000930,2,car,1920,1080,1633,543,1735,644,0.41796875
3_20191018_162514_000960,0,car,1920,1080,1784,531,1913,650,0.66015625
3_20191018_162514_000960,1,car,1920,1080,10,613,95,665,0.41796875
3_20191018_162514_000990,0,car,1920,1080,918,574,989,635,0.73046875
3_20191018_162514_000990,1,car,1920,1080,1038,557,1081,610,0.33984375
